"site_code","year","mean_sst"
"PPB51",2012,15.9291256830601
"PPB51",2013,16.1374794520548
"PPB51",2014,16.2703835616438
"PPB51",2015,15.8360821917808
"PPB51",2016,16.0599453551913
"PPB51",2017,16.6133698630137
"PPB51",2018,16.353397260274
"PPB51",2019,16.1447945205479
"PPB51",2020,15.8128142076503
"PPB51",2021,15.8357534246575
"PPB51",2022,16.2115068493151
"GSV53",2008,17.2546721311475
"GSV53",2009,17.7097534246575
"GSV53",2010,17.5618904109589
"GSV53",2011,17.3458630136986
"GSV53",2012,17.2185245901639
"GSV53",2013,17.890904109589
"GSV53",2014,17.7063287671233
"GSV53",2015,17.1817260273972
"GSV53",2016,17.4153551912568
"GSV53",2017,17.8521095890411
"GSV53",2018,17.5583561643836
"GSV53",2019,17.5561369863014
"GSV53",2020,17.0948087431694
"GSV53",2021,17.1787945205479
"GSV53",2022,17.2438082191781
"GSV140",2008,17.315218579235
"GSV140",2009,17.7780821917808
"GSV140",2010,17.6378904109589
"GSV140",2011,17.4560547945206
"GSV140",2012,17.2989617486339
"GSV140",2013,17.9330410958904
"GSV140",2014,17.8075616438356
"GSV140",2015,17.2547671232877
"GSV140",2016,17.5068032786885
"GSV140",2017,17.9447397260274
"GSV140",2018,17.6695068493151
"GSV140",2019,17.6847123287671
"GSV140",2020,17.2130054644809
"GSV140",2021,17.2865205479452
"GSV140",2022,17.395397260274
"GSV135",2008,17.2943989071038
"GSV135",2009,17.7600547945205
"GSV135",2010,17.6141643835616
"GSV135",2011,17.4212054794521
"GSV135",2012,17.2740710382514
"GSV135",2013,17.922301369863
"GSV135",2014,17.7764383561644
"GSV135",2015,17.2313150684932
"GSV135",2016,17.4782786885246
"GSV135",2017,17.9178356164384
"GSV135",2018,17.6392602739726
"GSV135",2019,17.6451232876713
"GSV135",2020,17.1740710382514
"GSV135",2021,17.2541917808219
"GSV135",2022,17.3483287671233
"GSV105",2008,17.3156830601093
"GSV105",2009,17.7787123287671
"GSV105",2010,17.6379726027397
"GSV105",2011,17.4597260273973
"GSV105",2012,17.3012021857924
"GSV105",2013,17.9339178082192
"GSV105",2014,17.8097808219178
"GSV105",2015,17.2562739726027
"GSV105",2016,17.5134426229508
"GSV105",2017,17.9455068493151
"GSV105",2018,17.6696438356164
"GSV105",2019,17.6861369863014
"GSV105",2020,17.2118852459016
"GSV105",2021,17.2929863013699
"GSV105",2022,17.3953150684931
"GSV131",2008,17.2943989071038
"GSV131",2009,17.7600547945205
"GSV131",2010,17.6141643835616
"GSV131",2011,17.4212054794521
"GSV131",2012,17.2740710382514
"GSV131",2013,17.922301369863
"GSV131",2014,17.7764383561644
"GSV131",2015,17.2313150684932
"GSV131",2016,17.4782786885246
"GSV131",2017,17.9178356164384
"GSV131",2018,17.6392602739726
"GSV131",2019,17.6451232876713
"GSV131",2020,17.1740710382514
"GSV131",2021,17.2541917808219
"GSV131",2022,17.3483287671233
"GSV139",2008,17.2943989071038
"GSV139",2009,17.7600547945205
"GSV139",2010,17.6141643835616
"GSV139",2011,17.4212054794521
"GSV139",2012,17.2740710382514
"GSV139",2013,17.922301369863
"GSV139",2014,17.7764383561644
"GSV139",2015,17.2313150684932
"GSV139",2016,17.4782786885246
"GSV139",2017,17.9178356164384
"GSV139",2018,17.6392602739726
"GSV139",2019,17.6451232876713
"GSV139",2020,17.1740710382514
"GSV139",2021,17.2541917808219
"GSV139",2022,17.3483287671233
"GSV137",2008,17.315218579235
"GSV137",2009,17.7780821917808
"GSV137",2010,17.6378904109589
"GSV137",2011,17.4560547945206
"GSV137",2012,17.2989617486339
"GSV137",2013,17.9330410958904
"GSV137",2014,17.8075616438356
"GSV137",2015,17.2547671232877
"GSV137",2016,17.5068032786885
"GSV137",2017,17.9447397260274
"GSV137",2018,17.6695068493151
"GSV137",2019,17.6847123287671
"GSV137",2020,17.2130054644809
"GSV137",2021,17.2865205479452
"GSV137",2022,17.395397260274
"PD-S26",2008,13.7442896174863
"PD-S26",2009,14.0204109589041
"PD-S26",2010,14.1412054794521
"PD-S26",2011,13.883205479452
"PD-S26",2012,14.3065846994536
"PD-S26",2013,14.6290410958904
"PD-S26",2014,14.3140821917808
"PD-S26",2015,13.6359726027397
"PD-S26",2016,14.3715846994535
"PD-S26",2017,14.5591780821918
"PD-S26",2018,14.5767123287671
"PD-S26",2019,14.1064931506849
"PD-S26",2020,13.8800819672131
"PD-S26",2021,14.1961095890411
"PD-S26",2022,14.4544657534247
"PD-S25",2008,13.7442896174863
"PD-S25",2009,14.0204109589041
"PD-S25",2010,14.1412054794521
"PD-S25",2011,13.883205479452
"PD-S25",2012,14.3065846994536
"PD-S25",2013,14.6290410958904
"PD-S25",2014,14.3140821917808
"PD-S25",2015,13.6359726027397
"PD-S25",2016,14.3715846994535
"PD-S25",2017,14.5591780821918
"PD-S25",2018,14.5767123287671
"PD-S25",2019,14.1064931506849
"PD-S25",2020,13.8800819672131
"PD-S25",2021,14.1961095890411
"PD-S25",2022,14.4544657534247
"PD-S22",2008,13.7441803278689
"PD-S22",2009,14.0203561643836
"PD-S22",2010,14.1394246575342
