"taxon","family","class","guild","limit","side","lat1","lat2","dLat","lon1","lon2","dLon","site1","site2","N_site","temp1","temp2","dTemp","total_log1","total_log2","pop_trend","presence","range","trophic_level","trophic_group","max_length","water_column","habitat","max_depth","therm_max","therm_mid","sgi","region","latitude","longitude","dSST"
"Choerodon graphicus","Labridae","Actinopterygii","tropical","northern","both",-16.60383,-12.2824099999998,4.32142000000017,145.968840000001,143.410919999998,-2.55792000000335,"GBR210","GBR46",30,26.7593570451436,27.1168809849521,0.357523939808502,1,1,0,"rare",810,3.5,"Benthic invertivore",51.5,"Demersal","coral",NA,30.1822,25.2567,7.4824972,"N",-16.60383,145.96884,-0.115136798905549
"Choerodon graphicus","Labridae","Actinopterygii","tropical","southern","east",-23.53652,-23.5341000000003,0.00241999999961706,151.757310000001,151.749679999998,-0.0076300000029903,"GBR243","GBR244",30,24.4734199726402,24.513755129959,0.0403351573187507,4.2188758248682,4.13549421592915,-0.0833816089390513,"rare",810,3.5,"Benthic invertivore",51.5,"Demersal","coral",NA,30.1822,25.2567,7.4824972,"N",-23.53652,151.75731,-0.0317647058823027
"Choerodon rubescens","Labridae","Actinopterygii","temperate","southern","west",-31.9997599999997,-32.0256700000013,-0.0259100000016304,115.46846,115.584039999994,0.115579999994566,"RI20","RI16",85,21.2024487004104,20.9412243502052,-0.261224350205175,6.64190707093811,6.29330482472449,-0.348602246213622,"common",390,3.6,"Benthic invertivore",90,"Demersal","rock",40,27.339,22.4225,6.3788756,"SW",-31.99976,115.46846,0.924942721205046
"Choerodon rubescens","Labridae","Actinopterygii","temperate","northern","west",-23.3324599999992,-26.12171,-2.78925000000082,113.779229999992,113.18267,-0.596559999991854,"NMP-S4","WA62",85,24.0574008207934,24.310009058306,0.25260823751255,3.70805020110221,3.30258509299405,-0.405465108108164,"common",390,3.6,"Benthic invertivore",90,"Demersal","rock",40,27.339,22.4225,6.3788756,"SW",-23.33246,113.77923,0.7359051901356
"Choerodon schoenleinii","Labridae","Actinopterygii","tropical","southern","east",-23.1980100000001,-27.3889799999998,-4.19096999999974,150.96855,153.550969999998,2.5824199999972,"GBR252","MBMP1",85,24.2310123119015,24.7799052407581,0.548892928856596,1.69314718055995,3.94443897916644,2.25129179860649,"common",1412,3.4,"Benthic invertivore",100,"Demersal","coral",60,32.167,27.4885,19.6458689,"N",-23.19801,150.96855,-0.0075239398085003
"Choerodon schoenleinii","Labridae","Actinopterygii","tropical","southern","west",-21.8363299999988,-22.9287500000008,-1.09242000000202,114.177770000004,113.779370000003,-0.39840000000089,"NMP-BF4","NMP-S2",85,25.5477610579115,24.4532284541724,-1.09453260373913,6.27299955856375,6.18178355029209,-0.0912160082716618,"common",1412,3.4,"Benthic invertivore",100,"Demersal","coral",60,32.167,27.4885,19.6458689,"SW",-21.83633,114.17777,-0.168325708476296
"Choerodon schoenleinii","Labridae","Actinopterygii","tropical","northern","both",-10.28793,-10.28793,0,143.717589999994,143.717589999994,0,"TS7","TS7",85,27.0245690834474,27.5479276140039,0.523358530556585,3.30258509299405,3.30258509299405,0,"common",1412,3.4,"Benthic invertivore",100,"Demersal","coral",60,32.167,27.4885,19.6458689,"N",-10.28793,143.71759,0.954405394456348
"Chromileptes altivelis","Serranidae","Actinopterygii","tropical","southern","east",-23.1565799999999,-23.2573799999996,-0.100799999999641,151.072899999999,151.94713,0.874230000001063,"GBR22","GBR249",35,24.2914090287278,24.6687688098495,0.377359781121701,2.09861228866811,3.30258509299405,1.20397280432594,"rare",1702,4,"Higher carnivore",70,"Demersal","coral",NA,31.705,27.659375,4.3105061,"N",-23.15658,151.0729,-0.0357592339261998
"Chromileptes altivelis","Serranidae","Actinopterygii","tropical","northern","both",-10.2875,-10.0696,0.217899999999979,143.709780000002,143.875440000003,0.165660000000685,"TS8","TS11",35,27.2145143638851,27.2879616963064,0.0734473324212992,1,1.69314718055995,0.693147180559945,"rare",1702,4,"Higher carnivore",70,"Demersal","coral",NA,31.705,27.659375,4.3105061,"N",-10.2875,143.70978,0.772996365728599
"Chromileptes altivelis","Serranidae","Actinopterygii","tropical","southern","west",-21.852449999999,-22.9287500000008,-1.07630000000183,114.16954,113.779370000003,-0.390169999996729,"NMP-BF2","NMP-S2",35,25.3598084815321,24.5217236662107,-0.83808481532143,3.77258872223978,3.99573227355399,0.22314355131421,"rare",1702,4,"Higher carnivore",70,"Demersal","coral",NA,31.705,27.659375,4.3105061,"SW",-21.85245,114.16954,1.00330027359779
